Date,ProductCategory,ProductName,Revenue,CompetitionLevel,MarketingCampaign,CustomerID,Gender,Age,Location,AveragePurchaseAmount
04/10/2021,Makeup,Eyeshadow,42.24,Low,High,58,Male,50,Rural,145.91
10/05/2022,Skincare,Moisturizer,396.81,Low,Medium,59,Female,33,Suburb,161.81
16/12/2021,Fragrances,Cologne,43.25,Medium,Low,60,Male,59,Rural,36.29
29/04/2021,Skincare,Sunscreen,245.12,Low,Medium,61,Male,33,City,66.26
28/11/2021,Fragrances,Perfume,212.58,Low,Medium,62,Male,19,Rural,162.42
04/07/2022,Makeup,Foundation,271.41,Low,Medium,63,Male,55,Rural,40.48
11/06/2021,Accessories,Handbag,340.47,Low,Medium,64,Male,52,Rural,177.74
31/01/2022,Skincare,Moisturizer,135.48,Medium,Low,65,Male,59,Rural,126.27
11/06/2022,Accessories,Earrings,91.82,Low,None,66,Male,35,Rural,85.22
22/07/2022,Fragrances,Body Mist,147.97,Medium,Low,67,Male,58,City,89.69
28/01/2022,Haircare,Hair Oil,322.4,High,None,68,Male,20,Rural,15.54
22/10/2021,Accessories,Bracelet,556.5,Low,Low,69,Female,58,City,109.94
22/02/2022,Accessories,Bracelet,211.15,Medium,Low,70,Male,26,Rural,78.02
08/12/2022,Fragrances,Perfume,93.48,Medium,High,71,Male,53,Suburb,137
01/12/2022,Fragrances,Body Mist,31.14,Low,Low,72,Male,32,Suburb,94
12/08/2021,Makeup,Foundation,56.12,Medium,Low,73,Female,47,Suburb,183.14
28/12/2022,Accessories,Earrings,177.17,High,None,74,Male,45,Suburb,153.4
15/01/2021,Fragrances,Perfume,93.04,Medium,Low,75,Male,50,City,199.01
14/08/2021,Fragrances,Body Mist,474.63,Medium,None,76,Male,20,Suburb,185.52
06/12/2022,Makeup,Lipstick,69.58,Medium,Low,77,Male,29,Rural,139.32
22/07/2021,Accessories,Bracelet,439.39,Low,Medium,78,Male,65,Suburb,182.47
13/12/2022,Accessories,Necklace,91.92,High,None,79,Male,27,City,119.77
31/08/2021,Haircare,Styling Gel,108.09,Low,Low,80,Male,57,Rural,46.21
03/04/2021,Makeup,Mascara,124.8,Medium,Low,81,Female,25,City,154.27
29/08/2022,Skincare,Sunscreen,75.29,Low,None,82,Female,31,City,65.66
14/07/2022,Skincare,Sunscreen,429.67,Medium,Medium,83,Male,29,Suburb,142.82
01/01/2022,Skincare,Moisturizer,448.03,Medium,None,84,Male,18,Suburb,135.84
14/10/2022,Haircare,Hair Oil,65.65,Low,None,85,Female,60,Suburb,196.15
02/04/2022,Fragrances,Cologne,344.32,Low,High,86,Female,37,Suburb,180.87
23/04/2021,Makeup,Foundation,344.27,Low,None,87,Male,26,City,130.34
07/05/2022,Makeup,Eyeshadow,260.63,Low,None,88,Male,35,City,67.71
10/02/2022,Haircare,Styling Gel,102.28,Low,None,89,Female,18,City,183.76
25/01/2022,Fragrances,Perfume,93.53,Low,Low,90,Female,54,Suburb,163.49
28/03/2022,Haircare,Shampoo,26.98,Medium,Low,91,Male,33,Rural,97.66
02/01/2021,Accessories,Earrings,70.98,Medium,None,92,Male,44,City,75.74
05/08/2021,Haircare,Conditioner,129.02,Medium,Medium,93,Female,38,City,194.07
10/11/2021,Haircare,Hair Oil,41.43,Medium,Medium,94,Female,59,City,135.17
09/09/2022,Skincare,Cleanser,80.25,Low,Medium,95,Female,46,City,177.41
30/06/2022,Fragrances,Perfume,247.93,High,None,96,Male,36,Rural,108.6
03/04/2022,Skincare,Cleanser,125.57,Medium,Low,97,Female,42,Suburb,20.8
30/07/2021,Haircare,Shampoo,322.85,Medium,Low,98,Male,53,Rural,157.26
06/05/2022,Haircare,Styling Gel,566.55,Low,Low,99,Female,55,Rural,83.11
20/08/2021,Skincare,Cleanser,213.89,Medium,Low,100,Male,55,City,114.67
06/07/2022,Accessories,Earrings,442.91,Low,Low,101,Male,38,Rural,16.94
13/12/2021,Haircare,Conditioner,240.28,Medium,High,102,Male,60,Rural,155.77
18/06/2021,Accessories,Handbag,400.96,Low,None,103,Female,56,City,43.19
18/07/2022,Accessories,Earrings,57.34,Medium,Medium,104,Male,41,City,99.21
06/03/2022,Haircare,Styling Gel,185.96,High,Low,105,Female,18,Rural,161.08
12/02/2022,Accessories,Earrings,157.91,Low,None,106,Female,19,City,90.54
03/02/2022,Fragrances,Perfume,47.21,Low,Low,107,Female,49,Rural,76.9
04/06/2022,Accessories,Bracelet,442.73,Medium,None,108,Male,25,City,22.99
30/03/2021,Makeup,Eyeshadow,229.55,High,Low,109,Male,55,Rural,158.48
01/08/2021,Makeup,Lipstick,25.13,Low,None,110,Female,28,Suburb,10.9
21/09/2022,Skincare,Sunscreen,81.65,Medium,None,111,Female,44,Suburb,194.08
29/04/2022,Makeup,Eyeshadow,499.81,Low,High,112,Female,48,Rural,118.81
22/11/2021,Skincare,Cleanser,317.62,Low,Low,113,Male,58,City,184.82
30/04/2022,Haircare,Styling Gel,195.87,Medium,Low,114,Female,36,City,174.46
24/09/2022,Accessories,Handbag,223.98,Medium,None,115,Female,20,Suburb,177.28
20/01/2021,Fragrances,Cologne,418.91,Medium,None,116,Female,57,Rural,190.99
22/03/2022,Makeup,Eyeshadow,51.15,Medium,None,117,Female,33,Rural,74.86
30/12/2022,Haircare,Shampoo,175.37,Medium,None,118,Male,28,Suburb,109.28
31/12/2021,Accessories,Handbag,312.64,Medium,Medium,119,Male,26,City,106.44
19/04/2021,Makeup,Lipstick,265.78,Medium,None,120,Female,60,Rural,67.57
13/08/2022,Haircare,Conditioner,109.92,Low,None,121,Female,52,Suburb,17.9
19/07/2022,Makeup,Lipstick,112.9,Low,Low,122,Male,52,Rural,121.81
19/01/2021,Makeup,Eyeshadow,135.83,High,None,123,Female,53,Rural,30.02
24/12/2021,Fragrances,Perfume,170.56,Low,None,124,Male,30,City,162.56
19/12/2021,Accessories,Earrings,115.53,Medium,None,125,Male,40,City,118.9
08/08/2022,Makeup,Mascara,288.81,Low,Low,126,Female,20,Rural,141.32
31/05/2021,Haircare,Styling Gel,335.9,Low,Medium,127,Female,41,City,26.23
27/01/2021,Skincare,Moisturizer,226.07,Low,None,128,Male,46,Suburb,98.06
27/03/2022,Skincare,Moisturizer,265.17,High,None,129,Female,50,City,192.07
04/07/2021,Haircare,Hair Oil,43.55,High,Low,130,Male,41,City,116.07
05/06/2021,Makeup,Foundation,337.75,Low,Medium,131,Male,41,City,18.19
18/08/2022,Haircare,Conditioner,334.26,High,None,132,Male,55,Suburb,189.19
17/02/2022,Haircare,Styling Gel,174.8,Medium,Low,133,Female,29,Suburb,191.81
23/02/2022,Skincare,Cleanser,201.07,Medium,High,134,Male,60,City,190.97
12/11/2021,Accessories,Handbag,183.88,Low,Low,135,Male,41,Suburb,160.82
16/02/2022,Skincare,Sunscreen,86.63,Medium,None,136,Female,31,Rural,193.86
21/01/2021,Haircare,Shampoo,492.28,Medium,None,137,Male,59,Suburb,51.66
04/01/2022,Skincare,Cleanser,18.72,Medium,High,138,Male,64,Suburb,92.99
29/06/2021,Makeup,Foundation,364.68,Medium,None,139,Female,23,City,107.88
21/01/2022,Fragrances,Cologne,38.22,Low,None,140,Female,48,City,115.41
12/07/2021,Accessories,Bracelet,287.16,Medium,Medium,141,Female,40,Suburb,194.78
26/04/2021,Fragrances,Cologne,424.89,Medium,None,142,Male,31,Suburb,32.61
22/06/2022,Makeup,Lipstick,118.46,Medium,Medium,143,Male,64,City,95.85
24/08/2021,Skincare,Cleanser,206.87,Medium,Low,144,Male,28,Rural,44.72
18/03/2021,Accessories,Handbag,111.6,High,None,145,Male,30,Suburb,123.01
06/06/2022,Haircare,Conditioner,159.19,Medium,Low,146,Male,54,Suburb,92.76
09/05/2021,Haircare,Conditioner,339.09,Low,High,147,Male,21,City,93.25
25/06/2021,Accessories,Necklace,334.53,Low,None,148,Male,53,Rural,46.13
20/06/2021,Fragrances,Cologne,53.82,Medium,Medium,149,Female,44,Suburb,19.86
12/04/2021,Makeup,Lipstick,220.53,Low,None,150,Female,53,Rural,51.26
12/03/2022,Accessories,Bracelet,356.44,Medium,High,151,Female,65,City,103.92
18/08/2021,Fragrances,Cologne,29.69,Medium,Low,152,Male,47,Suburb,197.66
03/09/2022,Fragrances,Body Mist,165.31,Low,Medium,153,Female,32,Suburb,102.28
11/07/2022,Skincare,Moisturizer,103.34,Medium,None,154,Female,27,Suburb,166.43
17/03/2021,Accessories,Bracelet,51.86,Low,Low,155,Female,29,Rural,168.87
19/10/2022,Makeup,Mascara,178.59,High,None,156,Female,36,City,52.18
17/08/2021,Fragrances,Cologne,268.46,Medium,Low,157,Female,19,Rural,183.45
13/03/2021,Skincare,Cleanser,293.88,Medium,Medium,158,Female,54,Suburb,34.33
20/04/2022,Skincare,Cleanser,197.91,Medium,Low,159,Male,34,Suburb,50.28
23/12/2022,Fragrances,Body Mist,203.94,Medium,None,160,Female,29,City,42.72
29/03/2021,Fragrances,Perfume,259.53,Low,High,161,Male,31,Suburb,57.54
07/04/2022,Haircare,Hair Oil,65.94,Low,Low,162,Female,33,City,11.86
19/08/2022,Accessories,Necklace,278.73,Medium,Low,163,Male,19,City,52.76
06/02/2022,Accessories,Bracelet,104.34,Medium,Low,164,Female,64,Suburb,46.01
17/09/2021,Accessories,Necklace,39.93,Medium,Low,165,Female,41,City,104.1
05/07/2022,Haircare,Conditioner,157.9,High,Low,166,Male,57,City,11.54
27/11/2021,Accessories,Bracelet,65.37,Medium,Low,167,Male,61,Rural,67.48
02/05/2021,Haircare,Hair Oil,86.62,High,None,168,Female,52,Rural,127.39
13/06/2022,Accessories,Earrings,343.91,Low,Medium,169,Male,26,Suburb,22.19
04/05/2021,Fragrances,Cologne,65.82,Medium,None,170,Male,60,City,99.98
19/03/2022,Haircare,Conditioner,224.34,Low,High,171,Female,22,Suburb,18.99
23/11/2022,Haircare,Shampoo,50.42,Low,None,172,Female,30,City,156.99
03/05/2022,Makeup,Eyeshadow,331.31,Medium,None,173,Female,38,Suburb,115.34
31/10/2022,Skincare,Serum,23.15,High,None,174,Male,40,Rural,187.5
07/12/2022,Makeup,Eyeshadow,158.71,Medium,High,175,Female,47,Suburb,74.35
24/04/2021,Accessories,Earrings,144.67,Low,None,176,Male,40,Rural,173.81
03/02/2021,Haircare,Conditioner,28.66,Medium,None,177,Female,52,Rural,122.84
09/01/2021,Fragrances,Cologne,120.21,Medium,None,178,Male,28,City,127.37
20/10/2021,Skincare,Serum,375.65,Medium,Low,179,Male,63,Rural,40.8
04/03/2021,Accessories,Bracelet,346.59,Medium,Medium,180,Female,23,City,171.48
21/11/2022,Accessories,Necklace,274.72,Medium,Low,181,Female,48,City,132.15
03/10/2021,Makeup,Eyeshadow,280.98,High,None,182,Female,25,Rural,103.55
20/04/2021,Skincare,Serum,63.97,Medium,None,183,Female,33,Rural,174.55
04/08/2021,Skincare,Moisturizer,60.04,Medium,Low,184,Female,23,Rural,71.12
01/03/2022,Accessories,Necklace,163.34,Low,High,185,Female,53,City,27.21
15/03/2022,Haircare,Shampoo,72.69,Medium,High,186,Female,35,Rural,180
14/03/2022,Makeup,Mascara,83.58,Low,None,187,Male,43,City,82.51
28/10/2021,Haircare,Hair Oil,260.75,Medium,Medium,188,Female,43,City,172.75
11/03/2021,Fragrances,Body Mist,248.01,Medium,Low,189,Male,49,Suburb,34.77
24/04/2022,Fragrances,Cologne,508.22,Medium,None,190,Male,52,Rural,72.41
08/11/2021,Makeup,Lipstick,124.62,Medium,High,191,Male,53,Rural,24.72
21/03/2021,Haircare,Conditioner,199.21,Medium,None,192,Female,58,Rural,185.37
10/08/2021,Skincare,Moisturizer,553.99,Low,Medium,193,Female,63,Suburb,107.16
17/11/2021,Skincare,Cleanser,12.95,Medium,Medium,194,Male,26,Rural,60.84
04/11/2021,Skincare,Cleanser,190.32,Medium,Low,195,Male,18,Suburb,151
03/03/2021,Fragrances,Cologne,121.77,Medium,None,196,Female,29,Rural,116.64
31/07/2021,Accessories,Earrings,161.1,Medium,Low,197,Female,58,City,187.84
02/06/2021,Accessories,Necklace,291.8,Medium,Low,198,Female,50,City,170.04
21/05/2021,Skincare,Cleanser,256.39,Low,Medium,199,Male,20,Suburb,164.54
10/07/2021,Skincare,Moisturizer,159.46,Medium,None,200,Female,36,Suburb,104.04
09/10/2021,Accessories,Earrings,235.73,High,Low,201,Male,28,Suburb,176.01
08/09/2021,Skincare,Moisturizer,547.3,Low,Low,202,Female,38,City,65.99
27/01/2022,Accessories,Earrings,44.43,Low,Low,203,Female,52,City,172.62
28/01/2021,Fragrances,Perfume,101.1,Low,Low,204,Female,39,Suburb,182.99
28/09/2021,Haircare,Conditioner,557.21,Low,Low,205,Female,50,City,50.21
08/08/2021,Skincare,Sunscreen,158.74,Medium,Low,206,Female,37,City,37.37
01/11/2021,Skincare,Moisturizer,369.83,Low,Low,207,Male,22,City,79.35
16/10/2021,Makeup,Foundation,144.83,Medium,Low,208,Male,37,Rural,185.57
24/05/2021,Makeup,Eyeshadow,230.17,High,Low,209,Male,55,Rural,122.27
22/08/2022,Makeup,Lipstick,275.69,Medium,Low,210,Female,25,City,23.47
26/03/2022,Skincare,Cleanser,452,Medium,Low,211,Female,64,Rural,56.35
19/07/2021,Makeup,Lipstick,456.44,Low,None,212,Female,61,Suburb,60.51
05/09/2021,Fragrances,Body Mist,258.77,Medium,Medium,213,Female,29,Suburb,136.76
01/07/2022,Accessories,Handbag,455.32,Low,None,214,Female,27,Rural,140.56
05/04/2021,Fragrances,Cologne,187.9,High,Low,215,Male,46,Rural,121.95
10/08/2022,Haircare,Shampoo,329.15,Medium,Medium,216,Female,30,Rural,146.66
22/03/2021,Haircare,Styling Gel,144.78,Low,High,217,Female,49,Suburb,74.53
01/04/2021,Haircare,Shampoo,86.26,Low,Medium,218,Female,27,City,54.17
27/02/2022,Haircare,Hair Oil,103.08,Low,None,219,Male,33,Rural,120.69
08/02/2022,Haircare,Shampoo,422.92,Low,None,220,Male,41,Rural,140.25
14/04/2022,Fragrances,Perfume,413.09,Low,None,221,Male,44,Suburb,140.95
27/12/2022,Haircare,Styling Gel,204.82,High,Low,222,Female,59,Suburb,122.5
29/05/2021,Accessories,Bracelet,175.27,Low,Medium,223,Male,26,Suburb,84.57
26/09/2022,Skincare,Moisturizer,40.17,Medium,Low,224,Female,63,City,94.56
26/04/2022,Haircare,Hair Oil,342.72,High,None,225,Male,19,Suburb,33.91
21/08/2022,Fragrances,Body Mist,249.16,Low,None,226,Male,18,City,104.68
06/10/2022,Fragrances,Perfume,111.62,High,Low,227,Male,33,City,142.58
10/09/2022,Skincare,Moisturizer,369.9,Low,Medium,228,Male,58,City,142.93
18/04/2022,Makeup,Foundation,40.09,Low,Medium,229,Male,51,City,132.3
26/05/2022,Fragrances,Cologne,195.28,Low,None,230,Female,62,Suburb,34.58
05/06/2022,Skincare,Moisturizer,489.66,Low,Low,231,Female,42,City,184.76
12/08/2022,Accessories,Bracelet,219.71,Medium,Low,232,Female,35,Rural,82.74
03/06/2021,Fragrances,Perfume,295.83,Medium,Medium,233,Male,45,Suburb,197.24
16/08/2022,Haircare,Hair Oil,431.47,Low,High,234,Male,65,Rural,183.54
03/07/2021,Makeup,Mascara,261.34,Low,None,235,Male,31,City,106.27
15/01/2022,Haircare,Styling Gel,44.71,Medium,None,236,Male,39,Rural,160.63
11/04/2021,Fragrances,Perfume,114.98,Medium,Low,237,Male,45,City,145.46
10/01/2021,Haircare,Shampoo,143.64,Low,Medium,238,Male,34,Suburb,130.89
22/12/2021,Makeup,Lipstick,20.07,High,None,239,Male,31,Rural,180.14
25/10/2021,Accessories,Necklace,221.01,Medium,Medium,240,Female,35,Suburb,91.69
07/11/2022,Haircare,Hair Oil,173.67,Low,High,241,Female,60,Suburb,151.74
21/02/2021,Skincare,Serum,95.42,Medium,None,242,Female,52,Rural,70.57
06/01/2021,Makeup,Foundation,37.96,Medium,Medium,243,Female,52,City,199.65
27/08/2021,Skincare,Serum,493.44,Medium,Low,244,Male,64,Rural,30.92
23/02/2021,Makeup,Foundation,204.96,Medium,None,245,Male,59,Suburb,169.82
10/06/2022,Fragrances,Body Mist,389.94,Medium,Medium,246,Male,20,Rural,107.4
02/04/2021,Makeup,Lipstick,200.61,Low,High,247,Female,37,City,100.26
31/03/2022,Accessories,Necklace,20.95,Medium,None,248,Female,53,Rural,33.39
02/10/2022,Haircare,Styling Gel,53.39,Low,High,249,Male,60,City,191.05
29/08/2021,Accessories,Earrings,108.84,Low,Low,250,Male,35,Rural,109.94
17/05/2021,Haircare,Shampoo,68.84,Medium,Medium,251,Female,42,Suburb,40.52
30/06/2021,Skincare,Moisturizer,372.21,Medium,Low,252,Male,26,Suburb,111.44
26/11/2022,Accessories,Earrings,253.55,Medium,Medium,253,Male,51,Rural,66.85
30/11/2022,Accessories,Earrings,59.93,Medium,Low,254,Male,48,Rural,86.48
01/01/2021,Fragrances,Cologne,251.97,Medium,High,255,Male,31,City,28.47
17/02/2021,Haircare,Conditioner,143.33,Medium,Low,256,Female,29,City,89.88
18/11/2022,Makeup,Lipstick,202.78,Low,Medium,257,Female,63,City,154.29
20/05/2021,Skincare,Sunscreen,318.01,Low,None,258,Male,32,Rural,18.59
20/06/2022,Haircare,Conditioner,73.82,Low,Medium,259,Female,28,Rural,57.61
07/08/2022,Skincare,Sunscreen,111.18,Low,None,260,Female,56,Suburb,22.18
12/12/2021,Accessories,Handbag,21.58,Low,Medium,261,Female,56,City,166.75
17/10/2021,Makeup,Eyeshadow,557.07,Low,Low,262,Male,53,Rural,53.16
15/06/2022,Haircare,Styling Gel,78.2,Medium,Low,263,Male,54,Suburb,104.92
02/12/2022,Haircare,Conditioner,30.95,High,None,264,Male,51,Rural,29.64
19/03/2021,Makeup,Foundation,312.61,Medium,Medium,265,Female,26,City,159.23
03/06/2022,Haircare,Conditioner,60.77,Low,None,266,Female,41,Rural,183.61
30/10/2021,Haircare,Shampoo,433.61,Medium,Low,267,Female,46,Rural,77.25
23/03/2021,Accessories,Earrings,120.05,Low,Medium,268,Female,31,City,153.6
06/01/2022,Accessories,Earrings,52.8,High,Low,269,Female,52,Rural,67.1
02/12/2021,Fragrances,Perfume,100.59,Medium,Low,270,Male,54,Suburb,183.65
25/12/2022,Fragrances,Body Mist,24.88,Medium,Low,271,Female,51,Suburb,63.7
14/01/2022,Makeup,Mascara,72.31,Low,None,272,Female,50,City,15.1
19/12/2022,Skincare,Moisturizer,197.08,Medium,Low,273,Female,37,Rural,67.3
13/10/2021,Skincare,Serum,306.29,High,Low,274,Male,38,City,167.88
29/12/2022,Skincare,Sunscreen,121.72,Low,None,275,Female,47,Rural,42.85
19/06/2022,Accessories,Earrings,131.92,Medium,Medium,276,Female,20,City,157.55
24/01/2022,Accessories,Earrings,158.83,Low,None,277,Female,24,Rural,78.22
23/08/2022,Fragrances,Cologne,384.49,Medium,High,278,Female,37,City,62.45
13/01/2022,Fragrances,Cologne,163.35,Low,None,279,Female,60,Rural,21.33
31/10/2021,Fragrances,Cologne,507.94,Low,Low,280,Male,26,City,79.39
14/02/2022,Haircare,Conditioner,192.15,Medium,Low,281,Female,57,Rural,74.12
25/04/2021,Haircare,Styling Gel,140.16,Low,Low,282,Female,56,City,66.83
20/03/2022,Skincare,Cleanser,25.6,Medium,High,283,Male,24,City,16.57
01/10/2022,Makeup,Lipstick,47.41,Medium,None,284,Male,29,City,30.28
23/08/2021,Makeup,Foundation,468.31,Low,None,285,Female,61,Rural,169.19
13/02/2022,Haircare,Conditioner,282.8,Low,High,286,Male,29,City,110.57
01/05/2021,Skincare,Moisturizer,112.59,High,Low,287,Male,25,City,140.99
12/11/2022,Makeup,Eyeshadow,20.58,Medium,None,288,Male,57,Rural,183.54
10/12/2022,Makeup,Lipstick,236.17,Medium,None,289,Male,54,Suburb,172.68
24/07/2022,Haircare,Hair Oil,352.2,Medium,Medium,290,Female,46,City,102.31
15/10/2022,Skincare,Moisturizer,130.43,Low,None,291,Female,46,City,73.9
02/05/2022,Makeup,Foundation,163.12,Medium,None,292,Female,32,City,168.8
23/05/2021,Makeup,Foundation,60.66,Low,High,293,Female,42,Suburb,124.91
14/11/2022,Skincare,Serum,101.57,Medium,High,294,Male,46,Rural,146.11
05/08/2022,Accessories,Earrings,226.33,Low,High,295,Male,45,Rural,100.5
08/06/2022,Accessories,Handbag,210.99,Low,Low,296,Female,62,City,114.97
07/10/2021,Makeup,Mascara,220.23,Medium,Low,297,Female,39,City,136.35
14/11/2021,Accessories,Handbag,59.2,Low,None,298,Male,20,Suburb,199.3
04/12/2022,Accessories,Handbag,395.08,High,Low,299,Male,23,Rural,25.08
27/05/2022,Haircare,Hair Oil,269.73,Medium,Low,300,Male,20,Suburb,144.28
17/06/2022,Skincare,Serum,55.29,Medium,None,301,Male,25,City,116.38
08/03/2022,Accessories,Bracelet,181.47,High,Low,302,Female,39,Rural,164.6
09/05/2022,Makeup,Foundation,267.08,Low,Medium,303,Male,27,Suburb,169.64
06/04/2022,Skincare,Moisturizer,26.43,Low,None,304,Female,26,Suburb,82.54
31/08/2022,Fragrances,Perfume,607.26,High,None,305,Female,38,Rural,147.46
11/11/2021,Makeup,Foundation,144.25,Medium,None,306,Male,37,Rural,132.7
31/12/2022,Haircare,Conditioner,55.76,Low,Low,307,Male,34,Rural,139.33
22/01/2022,Haircare,Hair Oil,64.88,Medium,Medium,308,Female,35,Suburb,166.81
15/07/2021,Haircare,Shampoo,522.2,Low,Low,309,Female,58,City,169.42
21/03/2022,Accessories,Earrings,272.96,Low,Low,310,Female,40,Suburb,28.45
05/01/2022,Skincare,Serum,86.32,Low,None,311,Male,30,Rural,110.88
07/07/2022,Skincare,Moisturizer,518.4,Medium,Low,312,Male,32,Suburb,23.42
03/01/2022,Makeup,Foundation,134.07,High,None,313,Female,22,Suburb,72.39
28/07/2021,Fragrances,Cologne,135.8,Low,None,314,Female,55,Suburb,58.65
16/04/2021,Accessories,Earrings,98.44,Medium,High,315,Male,43,City,27.78
18/02/2022,Haircare,Conditioner,174.26,Medium,None,316,Female,32,City,194.27
14/04/2021,Makeup,Eyeshadow,128.05,Low,None,317,Male,28,Rural,10.83
07/10/2022,Accessories,Handbag,175.11,Low,Low,318,Male,23,City,120.77
16/02/2021,Fragrances,Perfume,145.93,Low,Medium,319,Female,26,City,180.35
17/01/2022,Makeup,Foundation,183.01,Low,Medium,320,Male,41,Suburb,160.34
25/05/2021,Makeup,Mascara,148.34,High,Low,321,Female,40,Suburb,105.86
27/05/2021,Haircare,Conditioner,303.23,Medium,Medium,322,Female,20,Rural,112.95
01/09/2021,Haircare,Styling Gel,83.49,Low,None,323,Female,22,Suburb,124.71
21/09/2021,Skincare,Moisturizer,188.71,High,Low,324,Male,40,Rural,71.92
17/01/2021,Accessories,Bracelet,106.94,Low,High,325,Female,61,City,38.63
